gene,rho_purity,p_purity,rho_prolif,p_prolif,rho_cd8,p_cd8,rho_immune,p_immune,p_purity_bh,p_prolif_bh,p_cd8_bh,p_immune_bh
NCAPG,0.12744444335514965,7.700797689066107e-05,0.9163199494932,0.0,0.11237167416509325,0.0004962776578212022,0.0999821766155827,0.0019568102045185464,0.00020054160648609655,0.0,0.0005993691519579736,0.002386353907949447
NLRP8,0.12057830201724135,0.00018481670770913327,-0.4427921894131281,3.21218430598683e-47,-0.21322408518189312,2.658589547352519e-11,-0.19632945454483075,9.051070982535118e-10,0.00044641716837954897,4.3407896026849054e-47,5.830240235422191e-11,1.967624126638069e-09
SRARP,0.11752719190767931,0.0002688144307767658,-0.47080155540284435,5.920289349656834e-54,-0.22765486454267866,1.0244415813428217e-12,-0.21116697952152247,4.152060330912133e-11,0.0006251498390157345,8.997400227441996e-54,2.4865086925796646e-12,9.839005523488468e-11
TMEM232,0.12271316071849324,0.00014145356203798846,-0.5393127018576075,2.5347529507706186e-73,-0.2601623421027987,2.863113497032549e-16,-0.2488162956474231,5.703920919774896e-15,0.0003484077882709075,5.583156279230437e-73,9.176645823822272e-16,1.876289776241742e-14
DKC1,0.08044154108435865,0.012800385700244797,0.6819569161508751,6.937296286009416e-132,0.073829734898173,0.022366455579654262,0.049960104808838925,0.12247178699607034,0.021122748680271943,2.731219010239927e-131,0.023895785875699,0.12864683507990582
LRP8,-0.06818541645008179,0.034940924712328965,0.6472515089840234,1.041356669041036e-114,0.19912514263978698,5.155318885705669e-10,0.19543597041564628,1.0816090066882282e-09,0.051826080002857454,3.692754145535589e-114,1.0228807312908073e-09,2.3310538937246296e-09
HASPIN,0.04617181900450383,0.15351105113783323,0.8676902731172841,3.814625760956193e-292,0.1694129666121103,1.3482386678276888e-07,0.1588002214382318,7.913316748631824e-07,0.1963056919921141,3.5266247376349624e-291,2.1908610758916075e-07,1.314504443294323e-06
NUDT12,0.303023489069661,8.9604502688049e-22,-0.4480289524710387,1.9719556134838097e-48,-0.40283228337653265,1.2179467224666217e-38,-0.4023266485555815,1.5378798010753695e-38,3.733520945335375e-20,2.716192305074118e-48,5.536121465757372e-37,7.689399005376848e-37
FMO5,0.13926986440140224,1.5334452692625728e-05,-0.5521728441666367,1.7694482705670857e-77,-0.2705435179330109,1.6264284096233936e-17,-0.25155582209244776,2.8074808218246852e-15,4.5368203232620494e-05,4.173227053224259e-77,5.85046190512012e-17,9.549254496002332e-15
ATP1A4,0.07040251129393091,0.02942187783374319,-0.43761245651608105,4.840113274226744e-46,-0.15705333386778317,1.0475444645192827e-06,-0.13408716659009684,3.162654972938888e-05,0.044714100051281444,6.436320843386628e-46,1.5776272056013293e-06,4.610284217112081e-05
GTPBP4,0.020267798815975978,0.5311590581419979,0.6773065708922855,1.906483238917863e-129,0.10602706684513963,0.0010199390146527355,0.08584345997209869,0.007883045393680552,0.5875653298030951,7.38946991828629e-129,0.0011953137629604038,0.009081849531890037
RAB6C,0.11049569973850935,0.0006164911636439162,-0.48186183544367245,8.6270599709138e-57,-0.22379293609173873,2.5038131498944115e-12,-0.199299346716667,4.976287343523505e-10,0.0013116833269019494,1.3914612856312582e-56,5.850030724052363e-12,1.100948527328209e-09
DNAL1,0.26052538194972646,2.595374230230914e-16,-0.42811224455008734,6.211443362001553e-44,-0.4043516933543256,6.028237141864784e-39,-0.3910260642284236,2.544556501618619e-36,3.816726809163108e-15,7.983860362469862e-44,3.014118570932392e-37,9.087701791495067e-35
GASK1B,0.07890010876373559,0.014629443796248896,-0.5262741850990645,2.742519918221422e-69,-0.2792205953656626,1.3419814767925511e-18,-0.2595675826235994,3.361622246107857e-16,0.02398269474794901,5.507068108878358e-69,5.242115143720903e-18,1.254336658995469e-15
YBX1,-0.2066793132938397,1.0809397588342673e-10,0.5106742329749369,1.095360219766247e-64,0.3403464795831064,2.2181733580607136e-27,0.32821299637160356,1.8005894913914986e-25,6.755873492714171e-10,2.0359855385989718e-64,2.4646370645119042e-26,1.957162490642933e-24
UBE2T,0.13001957934970915,5.481465530337802e-05,0.8435828792441196,4.075525480905212e-260,0.08511106920344531,0.008431433265916307,0.06238389916121109,0.05370244189289659,0.00014578365772175005,2.9110896292180085e-259,0.00932680671008441,0.057620645807828955
NEK5,0.0967015720480146,0.002747920980398053,-0.548436217763367,2.979077698298316e-76,-0.283834754416682,3.432868340984753e-19,-0.2653767764614346,6.886840118498382e-17,0.0051847565667887795,6.896013190505361e-76,1.4546052292308276e-18,2.6953261577567055e-16
ANLN,0.009101054991372641,0.7785702074578393,0.842686466240623,4.95274071030713e-259,0.13313944937653613,3.600142004893183e-05,0.12665246582785672,8.538607366820112e-05,0.8009981558208223,3.487845570638824e-258,4.6876849022046654e-05,0.0001160136870491863
KIF23,0.11344956531663646,0.00043747254678957526,0.9005547702964439,0.0,0.0795396254581019,0.013844382846029775,0.070104225861739,0.030117816101547817,0.0009725635346431649,0.0,0.01498309831821404,0.03280807854199109
RABEP1,0.2276102807482189,1.0351620368551396e-12,-0.4316201982182694,1.0531598694377937e-44,-0.34978794444241046,6.315269373147381e-29,-0.32871957589490897,1.5045232705719333e-25,8.087203412930777e-12,1.3713019133304605e-44,9.568589959314213e-28,1.671692522857704e-24
FAM174A,0.2708212428043978,1.50368620714972e-17,-0.4171090497857866,1.4205301046879573e-41,-0.347600890035578,1.4559519529405812e-28,-0.35185411802191147,2.851321896784022e-29,2.592562426120207e-16,1.7801129131428034e-41,2.1411058131479134e-27,5.280225734785226e-28
PVR,-0.030698881440299003,0.3427909749184712,0.4804727011277473,1.9853984075254598e-56,0.05598944167789652,0.08342482506707316,0.04317819613822654,0.18200330751964228,0.39583253454788825,3.19195885454254e-56,0.08618267052383591,0.18801994578475442
